,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,Gender,Age,PositiveTransfer,FaceStimMatrix,oldYMcounter,oldYFcounter,oldOMcounter,oldOFcounter,newYMcounter,newYFcounter,newOMcounter,newOFcounter,keyPressed,Mem,Hit,FA,CR,Miss,RT,subject
69,70,MemResp,1,70,69,69,0,YF,2,1,0,10,13,14,12,14,4,5,3,5,l,1,0,0,1,0,1257,49
70,71,MemResp,1,71,70,70,0,OF,2,2,0,4,13,14,12,15,4,5,3,5,k,2,0,0,0,1,1446,49
71,72,MemResp,1,72,71,71,0,YF,2,1,1,2,13,15,12,15,4,5,3,5,l,2,0,0,0,1,1451,49
72,73,MemResp,1,73,72,72,0,OM,1,2,1,3,13,15,13,15,4,5,3,5,s,2,1,0,0,0,1610,49
73,74,MemResp,1,74,73,73,0,OM,1,2,0,11,13,15,13,15,4,5,4,5,k,1,0,0,1,0,1917,49
74,75,MemResp,1,75,74,74,0,YM,1,1,0,1,14,15,13,15,4,5,4,5,s,2,1,0,0,0,1178,49
75,76,MemResp,1,76,75,75,0,YM,1,1,0,9,14,15,13,15,5,5,4,5,k,1,0,0,1,0,1415,49
76,77,MemResp,1,77,76,76,0,YM,1,1,0,1,15,15,13,15,5,5,4,5,s,2,1,0,0,0,1196,49
77,78,MemResp,1,78,77,77,0,OM,1,2,1,3,15,15,14,15,5,5,4,5,a,2,1,0,0,0,777,49
78,79,MemResp,1,79,78,78,0,OM,1,2,0,11,15,15,14,15,5,5,5,5,k,1,0,0,1,0,1392,49
79,80,MemResp,1,80,79,79,0,OM,1,2,1,3,15,15,15,15,5,5,5,5,a,2,1,0,0,0,1187,49
80,81,MemResp,1,81,0,80,1,YF,2,1,1,2,15,16,15,15,5,5,5,5,a,2,1,0,0,0,1339,49
