,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,ObjectStimMatrix,StimSequence,NewStimMatrix,oldLLcounter,oldLScounter,oldNLcounter,oldNScounter,newLScounter,newLLcounter,newNScounter,newNLcounter,keyPressed,PressCorrect,Accuracy,RT,ResponseMatrix,subject
83,428,SourceMemShapeResp,7,84,83,83,0,NS,1,9,1,16,18,14,14,6,7,6,3,A,0,0,688,0,58
84,429,SourceMemShapeRespITI,7,85,84,84,0,ML,2,9,2,16,18,15,14,6,7,6,3,0,a,0,688,2,58
85,430,SourceMemShapeResp,7,86,85,85,0,NS,2,6,2,16,19,15,14,6,7,6,3,A,s,0,870,1,58
86,431,SourceMemShapeResp,7,87,0,86,1,ML,2,11,2,16,19,16,14,6,7,6,3,A,a,0,784,1,58
87,432,SourceMemShapeResp,7,88,1,87,1,NL,2,1,2,17,19,16,14,6,7,6,3,A,a,0,579,2,58
88,433,SourceMemShapeResp,7,89,2,88,1,NS,2,6,2,17,20,16,14,6,7,6,3,A,s,0,738,1,58
89,434,SourceMemShapeResp,7,90,3,89,1,NL,1,15,2,17,20,16,14,6,8,6,3,A,0,0,705,0,58
90,435,SourceMemShapeResp,7,91,4,90,1,ML,1,15,4,17,20,16,14,6,8,6,4,A,0,0,874,0,58
91,436,SourceMemShapeResp,7,92,5,91,1,MS,2,15,4,17,20,16,15,6,8,6,4,A,a,0,763,1,58
92,437,SourceMemShapeResp,7,93,6,92,1,ML,2,11,4,17,20,17,15,6,8,6,4,S,a,0,854,1,58
93,438,SourceMemShapeResp,7,94,7,93,1,NL,2,3,4,18,20,17,15,6,8,6,4,A,a,0,861,1,58
94,439,SourceMemShapeResp,7,95,8,94,1,NS,2,7,4,18,21,17,15,6,8,6,4,A,a,0,918,1,58
95,440,SourceMemShapeResp,7,96,9,95,1,ML,1,7,4,18,21,17,15,6,8,6,5,A,0,0,979,0,58
96,441,SourceMemShapeResp,7,97,10,96,1,NS,2,7,2,18,22,17,15,6,8,6,5,A,a,0,700,2,58
97,442,SourceMemShapeResp,7,98,11,97,1,ML,2,12,2,18,22,18,15,6,8,6,5,A,s,0,638,2,58
98,443,SourceMemShapeResp,7,99,12,98,1,NL,1,16,2,18,22,18,15,6,9,6,5,S,0,0,789,0,58
99,444,SourceMemShapeResp,7,100,13,99,1,MS,2,16,4,18,22,18,16,6,9,6,5,A,s,0,695,2,58
100,445,SourceMemShapeResp,7,101,14,100,1,ML,1,4,4,18,22,18,16,6,9,6,6,A,0,0,693,0,58
101,446,SourceMemShapeResp,7,102,15,101,1,MS,1,4,3,18,22,18,16,6,9,7,6,A,0,0,1003,0,58
102,447,SourceMemShapeResp,7,103,16,102,1,NL,2,4,3,19,22,18,16,6,9,7,6,S,s,0,652,2,58
103,448,SourceMemShapeResp,7,104,17,103,1,MS,1,16,3,19,22,18,16,6,9,8,6,A,0,0,733,0,58
104,449,SourceMemShapeResp,7,105,18,104,1,MS,2,16,1,19,22,18,17,6,9,8,6,A,s,0,784,1,58
105,450,SourceMemShapeResp,7,106,19,105,1,NS,2,5,1,19,23,18,17,6,9,8,6,S,a,0,721,2,58
106,451,SourceMemShapeResp,7,107,20,106,1,NL,2,2,1,20,23,18,17,6,9,8,6,A,s,0,701,2,58
107,452,SourceMemShapeResp,7,108,21,107,1,MS,2,14,1,20,23,18,18,6,9,8,6,A,s,0,560,1,58
108,453,SourceMemShapeResp,7,109,22,108,1,NS,1,7,1,20,23,18,18,7,9,8,6,S,0,0,479,0,58
109,454,SourceMemShapeResp,7,110,23,109,1,NS,2,7,4,20,24,18,18,7,9,8,6,A,a,0,812,1,58
110,455,SourceMemShapeResp,7,111,24,110,1,NS,2,5,4,20,25,18,18,7,9,8,6,S,a,0,769,2,58
111,456,SourceMemShapeResp,7,112,25,111,1,ML,1,8,4,20,25,18,18,7,9,8,7,A,0,0,706,0,58
