,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,ObjectStimMatrix,StimSequence,NewStimMatrix,oldLLcounter,oldLScounter,oldNLcounter,oldNScounter,newLScounter,newLLcounter,newNScounter,newNLcounter,keyPressed,PressCorrect,Accuracy,RT,ResponseMatrix,subject
147,320,SourceMemColorResp,2,148,61,147,1,ML,2,11,2,27,26,25,29,11,8,11,11,a,s,0,1303,2,61
148,321,SourceMemColorResp,2,149,62,148,1,NS,2,8,2,27,27,25,29,11,8,11,11,s,s,1,1341,2,61
149,322,SourceMemColorResp,2,150,63,149,1,MS,2,16,2,27,27,25,30,11,8,11,11,a,s,0,1558,1,61
150,323,SourceMemColorResp,2,151,64,150,1,ML,2,9,2,27,27,26,30,11,8,11,11,s,a,0,558,2,61
151,324,SourceMemColorResp,2,152,65,151,1,ML,2,11,2,27,27,27,30,11,8,11,11,s,s,1,481,2,61
152,325,SourceMemColorResp,2,153,66,152,1,MS,2,15,2,27,27,27,31,11,8,11,11,a,s,0,995,2,61
153,326,SourceMemColorResp,2,154,67,153,1,NL,1,11,2,27,27,27,31,11,9,11,11,a,0,0,660,0,61
154,327,SourceMemColorResp,2,155,68,154,1,ML,2,11,2,27,27,28,31,11,9,11,11,s,s,1,800,2,61
155,328,SourceMemColorResp,2,156,69,155,1,ML,2,12,2,27,27,29,31,11,9,11,11,a,s,0,1133,1,61
156,329,SourceMemColorResp,2,157,70,156,1,ML,2,9,2,27,27,30,31,11,9,11,11,s,a,0,567,2,61
157,330,SourceMemColorResp,2,158,71,157,1,ML,2,12,2,27,27,31,31,11,9,11,11,s,s,1,330,2,61
158,331,SourceMemColorRespITI,2,159,72,158,1,NS,2,7,2,27,28,31,31,11,9,11,11,j,s,0,330,1,61
159,332,SourceMemColorResp,2,160,73,159,1,NS,2,5,2,27,29,31,31,11,9,11,11,s,a,0,419,2,61
160,333,SourceMemColorResp,2,161,74,160,1,NL,2,3,2,28,29,31,31,11,9,11,11,a,s,0,430,1,61
161,334,SourceMemColorResp,2,162,75,161,1,NL,1,1,2,28,29,31,31,11,10,11,11,s,0,0,715,0,61
162,335,SourceMemColorResp,2,163,76,162,1,NL,1,1,2,28,29,31,31,11,11,11,11,a,0,0,641,0,61
163,336,SourceMemColorResp,2,164,77,163,1,NL,2,1,,29,29,31,31,11,11,11,11,a,a,1,1015,1,61
164,337,SourceMemColorResp,2,165,78,164,1,NL,2,1,,30,29,31,31,11,11,11,11,a,a,1,529,1,61
165,338,SourceMemColorResp,2,166,79,165,1,ML,2,9,,30,29,32,31,11,11,11,11,s,a,0,411,1,61
166,339,SourceMemColorResp,2,167,80,166,1,NS,2,5,,30,30,32,31,11,11,11,11,s,a,0,492,1,61
167,340,SourceMemColorResp,2,168,81,167,1,MS,2,13,,30,30,32,32,11,11,11,11,a,a,1,441,1,61
168,341,SourceMemColorResp,2,169,82,168,1,NS,2,5,,30,31,32,32,11,11,11,11,s,a,0,662,1,61
169,342,SourceMemColorResp,2,170,83,169,1,NL,2,1,,31,31,32,32,11,11,11,11,a,a,1,512,2,61
170,343,SourceMemColorResp,2,171,84,170,1,NS,2,7,,31,32,32,32,11,11,11,11,a,s,0,674,1,61
171,344,SourceMemColorResp,2,172,85,171,1,NL,2,2,,32,32,32,32,11,11,11,11,s,a,0,677,"1
SourceMemShape",61
0,173,SourceMemColorResp,7,1,0,0,0,NL,2,4,,1,0,0,0,0,0,0,0,s,s,1,1028,1,62
1,174,SourceMemColorResp,7,2,1,1,0,ML,2,10,2,1,0,1,0,0,0,0,0,a,a,1,508,1,62
2,175,SourceMemColorResp,7,3,2,2,0,NS,2,6,2,1,1,1,0,0,0,0,0,s,a,0,471,2,62
3,176,SourceMemColorResp,7,4,3,3,0,NL,2,4,2,2,1,1,0,0,0,0,0,s,s,1,552,1,62
4,177,SourceMemColorResp,7,5,4,4,0,MS,2,14,2,2,1,1,1,0,0,0,0,a,a,1,921,1,62
5,178,SourceMemColorResp,7,6,5,5,0,ML,2,10,2,2,1,2,1,0,0,0,0,a,a,1,793,2,62
6,179,SourceMemColorResp,7,7,6,6,0,NL,1,12,2,2,1,2,1,0,1,0,0,a,0,0,514,0,62
7,180,SourceMemColorResp,7,8,7,7,0,ML,2,12,3,2,1,3,1,0,1,0,0,s,s,1,436,2,62
8,181,SourceMemColorResp,7,9,8,8,0,ML,2,12,3,2,1,4,1,0,1,0,0,a,s,0,413,2,62
9,182,SourceMemColorResp,7,10,9,9,0,MS,2,15,3,2,1,4,2,0,1,0,0,s,s,1,279,2,62
10,183,SourceMemColorResp,7,11,10,10,0,MS,1,16,3,2,1,4,2,0,1,1,0,s,0,0,720,0,62
11,184,SourceMemColorResp,7,12,11,11,0,MS,2,16,4,2,1,4,3,0,1,1,0,s,s,1,943,2,62
12,185,SourceMemColorResp,7,13,12,12,0,NS,2,7,4,2,2,4,3,0,1,1,0,s,s,1,376,2,62
13,186,SourceMemColorResp,7,14,13,13,0,NL,2,3,4,3,2,4,3,0,1,1,0,s,s,1,481,2,62
14,187,SourceMemColorResp,7,15,14,14,0,ML,1,12,4,3,2,4,3,0,1,1,1,s,0,0,282,0,62
15,188,SourceMemColorResp,7,16,15,15,0,MS,1,12,3,3,2,4,3,0,1,2,1,a,0,0,315,0,62
16,189,SourceMemColorResp,7,17,16,16,0,ML,2,12,3,3,2,5,3,0,1,2,1,a,s,0,276,1,62
17,190,SourceMemColorResp,7,18,17,17,0,NS,2,6,3,3,3,5,3,0,1,2,1,s,a,0,406,2,62
