,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,Gender,Age,FaceStimMatrix,oldYMcounter,oldYFcounter,oldOMcounter,oldOFcounter,newYMcounter,newYFcounter,newOMcounter,newOFcounter,keyPressed,Mem,Hit,FA,CR,Miss,RT,subject
13,14,MemResp,4,14,13,13,0,OM,1,2,11,2,2,2,4,2,0,1,1,a,1,0,1,0,0,793,50
14,15,MemResp,4,15,14,14,0,YM,1,1,9,2,2,2,4,3,0,1,1,s,1,0,1,0,0,1180,50
15,16,MemResp,4,16,15,15,0,YM,1,1,1,3,2,2,4,3,0,1,1,a,2,1,0,0,0,1671,50
16,17,MemResp,4,17,16,16,0,OF,2,2,4,3,2,2,5,3,0,1,1,a,2,1,0,0,0,928,50
17,18,MemResp,4,18,17,17,0,OF,2,2,12,3,2,2,5,3,0,1,2,k,1,0,0,1,0,1535,50
18,19,MemResp,4,19,18,18,0,YF,2,1,10,3,2,2,5,3,1,1,2,s,1,0,1,0,0,1206,50
19,20,MemResp,4,20,19,19,0,YF,2,1,10,3,2,2,5,3,2,1,2,a,1,0,1,0,0,655,50
20,21,MemResp,4,21,20,20,0,YF,2,1,10,3,2,2,5,3,3,1,2,k,1,0,0,1,0,1187,50
21,22,MemResp,4,22,21,21,0,YM,1,1,1,4,2,2,5,3,3,1,2,s,2,1,0,0,0,953,50
22,23,MemResp,4,23,22,22,0,YM,1,1,9,4,2,2,5,4,3,1,2,a,1,0,1,0,0,967,50
23,24,MemResp,4,24,23,23,0,YM,1,1,1,5,2,2,5,4,3,1,2,a,2,1,0,0,0,670,50
24,25,MemResp,4,25,24,24,0,YF,2,1,2,5,3,2,5,4,3,1,2,k,2,0,0,0,1,1031,50
25,26,MemResp,4,26,25,25,0,OM,1,2,3,5,3,3,5,4,3,1,2,s,2,1,0,0,0,1124,50
26,27,MemResp,4,27,26,26,0,OM,1,2,3,5,3,4,5,4,3,1,2,s,2,1,0,0,0,740,50
27,28,MemResp,4,28,27,27,0,OM,1,2,11,5,3,4,5,4,3,2,2,a,1,0,1,0,0,774,50
28,29,MemResp,4,29,28,28,0,YM,1,1,1,6,3,4,5,4,3,2,2,k,2,0,0,0,1,883,50
29,30,MemResp,4,30,29,29,0,OM,1,2,3,6,3,5,5,4,3,2,2,k,2,0,0,0,1,841,50
30,31,MemResp,4,31,30,30,0,OF,2,2,4,6,3,5,6,4,3,2,2,a,2,1,0,0,0,997,50
31,32,MemResp,4,32,31,31,0,OF,2,2,4,6,3,5,7,4,3,2,2,a,2,1,0,0,0,1385,50
32,33,MemResp,4,33,32,32,0,YM,1,1,1,7,3,5,7,4,3,2,2,a,2,1,0,0,0,1088,50
33,34,MemResp,4,34,33,33,0,OM,1,2,3,7,3,6,7,4,3,2,2,a,2,1,0,0,0,750,50
34,35,MemResp,4,35,34,34,0,YF,2,1,2,7,4,6,7,4,3,2,2,a,2,1,0,0,0,859,50
35,36,MemResp,4,36,35,35,0,OM,1,2,3,7,4,7,7,4,3,2,2,s,2,1,0,0,0,977,50
36,37,MemResp,4,37,36,36,0,YF,2,1,10,7,4,7,7,4,4,2,2,s,1,0,1,0,0,1162,50
37,38,MemResp,4,38,37,37,0,YF,2,1,2,7,5,7,7,4,4,2,2,a,2,1,0,0,0,815,50
38,39,MemResp,4,39,38,38,0,YF,2,1,2,7,6,7,7,4,4,2,2,l,2,0,0,0,1,944,50
