,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,YMNCounter,YFNCounter,OMNCounter,OFNCounter,Action,Category,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,ACCCount,subject
72,72,Resp,4,73,72,72,0,16,22,16,19,1,YFN,1,1,v,v,1,617,1,63,2
73,73,Resp,4,74,73,73,0,16,22,17,19,4,OMN,4,2,b,v,0,589,2,63,2
74,74,Resp,4,75,74,74,0,17,22,17,19,3,YMN,2,3,n,n,1,595,1,64,2
75,75,Resp,4,76,75,75,0,17,23,17,19,1,YFN,1,1,v,v,1,550,1,65,2
76,76,Resp,4,77,76,76,0,17,23,17,20,2,OFN,3,4,m,m,1,521,1,66,2
77,77,Resp,4,78,77,77,0,17,24,17,20,1,YFN,1,1,v,v,1,509,1,67,2
78,78,Resp,4,79,78,78,0,17,24,18,20,4,OMN,4,2,b,b,1,433,1,68,2
79,79,Resp,4,80,79,79,0,18,24,18,20,3,YMN,2,3,n,n,1,700,1,69,2
80,80,Resp,4,81,80,80,0,18,24,19,20,4,OMN,4,2,b,b,1,543,1,70,2
81,81,Resp,4,82,81,81,0,19,24,19,20,3,YMN,2,3,n,n,1,747,1,71,2
82,82,Resp,4,83,82,82,0,20,24,19,20,3,YMN,2,3,n,n,1,528,1,72,2
83,83,Resp,4,84,83,83,0,20,24,19,21,2,OFN,3,4,m,m,1,628,1,73,2
84,84,Resp,4,85,84,84,0,21,24,19,21,3,YMN,2,3,n,n,1,536,1,74,2
85,85,Resp,4,86,85,85,0,21,24,19,22,2,OFN,3,4,m,m,1,523,1,75,2
86,86,Resp,4,87,86,86,0,22,24,19,22,3,YMN,2,3,n,n,1,543,1,76,2
87,87,Resp,4,88,87,87,0,22,24,19,23,2,OFN,3,4,m,m,1,499,1,77,2
88,88,Resp,4,89,88,88,0,23,24,19,23,3,YMN,2,3,n,n,1,567,1,78,2
89,89,Resp,4,90,89,89,0,24,24,19,23,3,YMN,2,3,n,n,1,546,1,79,2
90,90,Resp,4,91,90,90,0,24,24,20,23,4,OMN,4,2,b,b,1,662,1,80,2
91,91,Resp,4,92,91,91,0,24,24,21,23,4,OMN,4,2,b,b,1,546,1,81,2
92,92,Resp,4,93,92,92,0,25,24,21,23,3,YMN,2,3,n,n,1,574,1,82,2
93,93,Resp,4,94,93,93,0,25,24,22,23,4,OMN,4,2,b,b,1,531,1,83,2
94,94,Resp,4,95,94,94,0,25,25,22,23,1,YFN,1,1,v,v,1,503,1,84,2
95,95,Resp,4,96,95,95,0,25,25,23,23,4,OMN,4,2,b,b,1,769,1,85,2
96,96,Resp,4,97,96,96,0,25,25,24,23,4,OMN,4,2,b,b,1,582,1,86,2
97,97,Resp,4,98,97,97,0,26,25,24,23,3,YMN,2,3,n,n,1,441,1,87,2
98,98,Resp,4,99,98,98,0,26,25,25,23,4,OMN,4,2,b,b,1,557,1,88,2
99,99,Resp,4,100,99,99,0,26,25,26,23,4,OMN,4,2,b,b,1,536,1,89,2
100,100,Resp,4,101,100,100,0,26,26,26,23,1,YFN,1,1,v,n,0,837,2,89,2
101,101,Resp,4,102,101,101,0,27,26,26,23,3,YMN,2,3,n,n,1,552,1,90,2
102,102,Resp,4,103,102,102,0,27,27,26,23,1,YFN,1,1,v,v,1,541,1,91,2
103,103,Resp,4,104,103,103,0,27,27,26,24,2,OFN,3,4,m,m,1,576,1,92,2
104,104,Resp,4,105,104,104,0,27,27,26,25,2,OFN,3,4,m,m,1,605,1,93,2
105,105,Resp,4,106,105,105,0,27,28,26,25,1,YFN,1,1,v,v,1,568,1,94,2
106,106,Resp,4,107,106,106,0,27,28,26,26,2,OFN,3,4,m,m,1,686,1,95,2
107,107,Resp,4,108,107,107,0,28,28,26,26,3,YMN,2,3,n,n,1,552,1,96,2
108,108,Resp,4,109,108,108,0,28,29,26,26,1,YFN,1,1,v,v,1,620,1,97,2
109,109,Resp,4,110,109,109,0,29,29,26,26,3,YMN,2,3,n,n,1,535,1,98,2
110,110,Resp,4,111,110,110,0,29,29,27,26,4,OMN,4,2,b,b,1,628,1,99,2
111,111,Resp,4,112,111,111,0,29,29,28,26,4,OMN,4,2,b,b,1,591,1,100,2
112,112,Resp,4,113,112,112,0,29,29,28,27,2,OFN,3,4,m,m,1,627,1,101,2
113,113,Resp,4,114,113,113,0,30,29,28,27,3,YMN,2,3,n,n,1,808,1,102,2
114,114,Resp,4,115,114,114,0,30,30,28,27,1,YFN,1,1,v,v,1,581,1,103,2
115,115,Resp,4,116,115,115,0,30,30,29,27,4,OMN,4,2,b,b,1,543,1,104,2
116,116,Resp,4,117,116,116,0,30,30,30,27,4,OMN,4,2,b,b,1,654,1,105,2
