,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,YMNCounter,YFNCounter,OMNCounter,OFNCounter,Action,Category,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,ACCCount,subject
59,59,Resp,2,60,59,59,0,11,19,15,15,2,OFN,3,2,b,b,1,861,1,50,34
60,60,Resp,2,61,60,60,0,12,19,15,15,3,YMN,2,3,n,n,1,784,1,51,34
61,61,Resp,2,62,61,61,0,12,20,15,15,1,YFN,1,1,v,v,1,743,1,52,34
62,62,Resp,2,63,62,62,0,12,20,16,15,4,OMN,4,4,m,m,1,784,1,53,34
63,63,Resp,2,64,63,63,0,12,20,16,16,2,OFN,3,2,b,b,1,937,1,54,34
64,64,Resp,2,65,64,64,0,12,20,17,16,4,OMN,4,4,m,m,1,803,1,55,34
65,65,Resp,2,66,65,65,0,12,20,18,16,4,OMN,4,4,m,m,1,665,1,56,34
66,66,Resp,2,67,66,66,0,12,21,18,16,1,YFN,1,1,v,v,1,915,1,57,34
67,67,Resp,2,68,67,67,0,13,21,18,16,3,YMN,2,3,n,n,1,855,1,58,34
68,68,Resp,2,69,68,68,0,13,21,18,17,2,OFN,3,2,b,b,1,763,1,59,34
69,69,Resp,2,70,69,69,0,14,21,18,17,3,YMN,2,3,n,n,1,868,1,60,34
70,70,Resp,2,71,70,70,0,15,21,18,17,3,YMN,2,3,n,n,1,778,1,61,34
71,71,Resp,2,72,71,71,0,15,22,18,17,1,YFN,1,1,v,v,1,738,1,62,34
72,72,Resp,2,73,72,72,0,15,22,18,18,2,OFN,3,2,b,b,1,835,1,63,34
73,73,Resp,2,74,73,73,0,15,22,18,19,2,OFN,3,2,b,m,0,1029,2,63,34
74,74,Resp,2,75,74,74,0,15,22,19,19,4,OMN,4,4,m,m,1,859,1,64,34
75,75,Resp,2,76,75,75,0,16,22,19,19,3,YMN,2,3,n,n,1,848,1,65,34
76,76,Resp,2,77,76,76,0,16,22,19,20,2,OFN,3,2,b,b,1,723,1,66,34
77,77,Resp,2,78,77,77,0,16,22,20,20,4,OMN,4,4,m,m,1,744,1,67,34
78,78,Resp,2,79,78,78,0,16,22,20,21,2,OFN,3,2,b,b,1,845,1,68,34
79,79,Resp,2,80,79,79,0,16,22,20,22,2,OFN,3,2,b,b,1,749,1,69,34
80,80,Resp,2,81,80,80,0,16,22,20,23,2,OFN,3,2,b,b,1,713,1,70,34
81,81,Resp,2,82,81,81,0,17,22,20,23,3,YMN,2,3,n,n,1,728,1,71,34
82,82,Resp,2,83,82,82,0,17,23,20,23,1,YFN,1,1,v,v,1,943,1,72,34
83,83,Resp,2,84,83,83,0,17,23,20,24,2,OFN,3,2,b,b,1,641,1,73,34
84,84,Resp,2,85,84,84,0,18,23,20,24,3,YMN,2,3,n,n,1,880,1,74,34
85,85,Resp,2,86,85,85,0,19,23,20,24,3,YMN,2,3,n,n,1,1104,1,75,34
86,86,Resp,2,87,86,86,0,19,23,21,24,4,OMN,4,4,m,m,1,694,1,76,34
87,87,Resp,2,88,87,87,0,19,23,21,25,2,OFN,3,2,b,b,1,744,1,77,34
88,88,Resp,2,89,88,88,0,19,23,21,26,2,OFN,3,2,b,b,1,558,1,78,34
