,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,YMNCounter,YFNCounter,OMNCounter,OFNCounter,Action,Category,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,ACCCount,subject
114,114,Resp,4,115,114,114,0,29,28,28,30,4,OMN,4,2,b,b,1,625,1,100,19
115,115,Resp,4,116,115,115,0,30,28,28,30,3,YMN,2,3,n,n,1,875,1,101,19
116,116,Resp,4,117,116,116,0,30,28,29,30,4,OMN,4,2,b,b,1,597,1,102,19
117,117,Resp,4,118,117,117,0,30,28,30,30,4,OMN,4,2,b,b,1,838,1,103,19
118,118,Resp,4,119,118,118,0,30,29,30,30,1,YFN,1,1,v,v,1,583,1,104,19
119,119,Resp,4,120,119,119,0,30,30,30,30,1,YFN,1,1,v,v,1,422,1,105,19
0,0,Resp,3,1,0,0,0,0,0,0,1,3,OFN,3,3,n,b,0,1238,2,0,21
1,1,Resp,3,2,1,1,0,0,0,0,2,3,OFN,3,3,n,n,1,1091,1,1,21
2,2,RespITI,3,3,2,2,0,1,0,0,2,2,YMN,2,4,m,0,0,1091,3,1,21
3,3,Resp,3,4,3,3,0,2,0,0,2,2,YMN,2,4,m,v,0,640,2,1,21
4,4,Resp,3,5,4,4,0,3,0,0,2,2,YMN,2,4,m,m,1,750,1,2,21
5,5,RespITI,3,6,5,5,0,3,1,0,2,1,YFN,1,1,v,0,0,750,3,2,21
6,6,Resp,3,7,6,6,0,3,1,1,2,4,OMN,4,2,b,m,0,1182,2,2,21
7,7,RespITI,3,8,7,7,0,3,2,1,2,1,YFN,1,1,v,0,0,1182,3,2,21
8,8,Resp,3,9,8,8,0,3,2,1,3,3,OFN,3,3,n,b,0,1096,2,2,21
9,9,Resp,3,10,9,9,0,4,2,1,3,2,YMN,2,4,m,m,1,1172,1,3,21
10,10,Resp,3,11,10,10,0,5,2,1,3,2,YMN,2,4,m,m,1,830,1,4,21
11,11,Resp,3,12,11,11,0,6,2,1,3,2,YMN,2,4,m,m,1,783,1,5,21
12,12,Resp,3,13,12,12,0,6,3,1,3,1,YFN,1,1,v,n,0,1064,2,5,21
13,13,Resp,3,14,13,13,0,6,3,2,3,4,OMN,4,2,b,n,0,953,2,5,21
14,14,Resp,3,15,14,14,0,6,3,2,4,3,OFN,3,3,n,v,0,1141,2,5,21
15,15,Resp,3,16,15,15,0,6,3,2,5,3,OFN,3,3,n,b,0,814,2,5,21
16,16,Resp,3,17,16,16,0,6,4,2,5,1,YFN,1,1,v,b,0,1171,2,5,21
17,17,RespITI,3,18,17,17,0,6,4,3,5,4,OMN,4,2,b,0,0,1171,3,5,21
18,18,Resp,3,19,18,18,0,6,4,3,6,3,OFN,3,3,n,b,0,795,2,5,21
19,19,Resp,3,20,19,19,0,6,4,4,6,4,OMN,4,2,b,b,1,923,1,6,21
20,20,Resp,3,21,20,20,0,6,4,4,7,3,OFN,3,3,n,v,0,1031,2,6,21
21,21,Resp,3,22,21,21,0,6,4,5,7,4,OMN,4,2,b,b,1,1142,1,7,21
22,22,Resp,3,23,22,22,0,6,5,5,7,1,YFN,1,1,v,v,1,1028,1,8,21
23,23,Resp,3,24,23,23,0,6,5,5,8,3,OFN,3,3,n,m,0,983,2,8,21
24,24,Resp,3,25,24,24,0,6,6,5,8,1,YFN,1,1,v,v,1,1172,1,9,21
25,25,Resp,3,26,25,25,0,7,6,5,8,2,YMN,2,4,m,m,1,841,1,10,21
26,26,Resp,3,27,26,26,0,7,7,5,8,1,YFN,1,1,v,v,1,686,1,11,21
27,27,Resp,3,28,27,27,0,7,7,6,8,4,OMN,4,2,b,n,0,810,2,11,21
28,28,Resp,3,29,28,28,0,8,7,6,8,2,YMN,2,4,m,m,1,969,1,12,21
29,29,Resp,3,30,29,29,0,9,7,6,8,2,YMN,2,4,m,m,1,674,1,13,21
30,30,Resp,3,31,30,30,0,10,7,6,8,2,YMN,2,4,m,m,1,531,1,14,21
31,31,Resp,3,32,31,31,0,10,7,7,8,4,OMN,4,2,b,b,1,830,1,15,21
32,32,Resp,3,33,32,32,0,10,7,8,8,4,OMN,4,2,b,b,1,748,1,16,21
33,33,Resp,3,34,33,33,0,10,7,9,8,4,OMN,4,2,b,b,1,836,1,17,21
34,34,Resp,3,35,34,34,0,10,7,9,9,3,OFN,3,3,n,m,0,781,2,17,21
35,35,Resp,3,36,35,35,0,10,7,10,9,4,OMN,4,2,b,b,1,641,1,18,21
36,36,Resp,3,37,36,36,0,10,7,11,9,4,OMN,4,2,b,b,1,889,1,19,21
37,37,Resp,3,38,37,37,0,10,8,11,9,1,YFN,1,1,v,v,1,1095,1,20,21
38,38,Resp,3,39,38,38,0,11,8,11,9,2,YMN,2,4,m,m,1,1000,1,21,21
39,39,Resp,3,40,39,39,0,11,8,11,10,3,OFN,3,3,n,n,1,829,1,22,21
40,40,Resp,3,41,40,40,0,11,8,12,10,4,OMN,4,2,b,b,1,815,1,23,21
41,41,Resp,3,42,41,41,0,11,9,12,10,1,YFN,1,1,v,v,1,1001,1,24,21
42,42,Resp,3,43,42,42,0,11,9,12,11,3,OFN,3,3,n,n,1,985,1,25,21
43,43,Resp,3,44,43,43,0,12,9,12,11,2,YMN,2,4,m,m,1,1006,1,26,21
44,44,Resp,3,45,44,44,0,12,9,13,11,4,OMN,4,2,b,b,1,659,1,27,21
45,45,Resp,3,46,45,45,0,13,9,13,11,2,YMN,2,4,m,m,1,923,1,28,21
46,46,Resp,3,47,46,46,0,14,9,13,11,2,YMN,2,4,m,m,1,673,1,29,21
47,47,Resp,3,48,47,47,0,14,9,13,12,3,OFN,3,3,n,n,1,999,1,30,21
48,48,Resp,3,49,48,48,0,14,9,14,12,4,OMN,4,2,b,b,1,816,1,31,21
49,49,Resp,3,50,49,49,0,15,9,14,12,2,YMN,2,4,m,m,1,703,1,32,21
50,50,Resp,3,51,50,50,0,15,10,14,12,1,YFN,1,1,v,v,1,799,1,33,21
51,51,Resp,3,52,51,51,0,15,10,14,13,3,OFN,3,3,n,n,1,798,1,34,21
52,52,Resp,3,53,52,52,0,16,10,14,13,2,YMN,2,4,m,m,1,734,1,35,21
53,53,Resp,3,54,53,53,0,16,11,14,13,1,YFN,1,1,v,v,1,657,1,36,21
54,54,Resp,3,55,54,54,0,16,11,14,14,3,OFN,3,3,n,n,1,735,1,37,21
55,55,Resp,3,56,55,55,0,16,11,15,14,4,OMN,4,2,b,b,1,734,1,38,21
56,56,Resp,3,57,56,56,0,16,11,15,15,3,OFN,3,3,n,n,1,718,1,39,21
57,57,Resp,3,58,57,57,0,16,11,16,15,4,OMN,4,2,b,b,1,577,1,40,21
58,58,Resp,3,59,58,58,0,16,11,16,16,3,OFN,3,3,n,n,1,608,1,41,21
59,59,Resp,3,60,59,59,0,17,11,16,16,2,YMN,2,4,m,m,1,733,1,42,21
60,60,Resp,3,61,60,60,0,17,12,16,16,1,YFN,1,1,v,v,1,502,1,43,21
61,61,Resp,3,62,61,61,0,17,12,16,17,3,OFN,3,3,n,n,1,783,1,44,21
62,62,Resp,3,63,62,62,0,18,12,16,17,2,YMN,2,4,m,m,1,751,1,45,21
63,63,Resp,3,64,63,63,0,18,13,16,17,1,YFN,1,1,v,v,1,751,1,46,21
64,64,Resp,3,65,64,64,0,18,14,16,17,1,YFN,1,1,v,v,1,640,1,47,21
65,65,Resp,3,66,65,65,0,19,14,16,17,2,YMN,2,4,m,m,1,750,1,48,21
66,66,Resp,3,67,66,66,0,19,15,16,17,1,YFN,1,1,v,v,1,765,1,49,21
67,67,Resp,3,68,67,67,0,19,16,16,17,1,YFN,1,1,v,v,1,767,1,50,21
68,68,Resp,3,69,68,68,0,19,16,17,17,4,OMN,4,2,b,b,1,864,1,51,21
69,69,Resp,3,70,69,69,0,19,16,17,18,3,OFN,3,3,n,n,1,1111,1,52,21
70,70,Resp,3,71,70,70,0,20,16,17,18,2,YMN,2,4,m,m,1,742,1,53,21
71,71,Resp,3,72,71,71,0,20,17,17,18,1,YFN,1,1,v,v,1,691,1,54,21
72,72,Resp,3,73,72,72,0,21,17,17,18,2,YMN,2,4,m,m,1,668,1,55,21
73,73,Resp,3,74,73,73,0,21,18,17,18,1,YFN,1,1,v,v,1,518,1,56,21
