,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,YMNCounter,YFNCounter,OMNCounter,OFNCounter,Action,Category,PositiveTransfer,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,ACCCount,subject
31,31,Resp,3,32,31,31,0,8,11,5,8,1,YFN,1,1,1,v,v,1,684,1,31,3
32,32,Resp,3,33,32,32,0,9,11,5,8,2,YMN,0,2,4,m,m,1,666,1,32,3
33,33,Resp,3,34,33,33,0,9,11,6,8,4,OMN,1,4,2,b,b,1,546,1,33,3
34,34,Resp,3,35,34,34,0,9,11,6,9,3,OFN,0,3,3,n,v,0,687,2,33,3
35,35,Resp,3,36,35,35,0,10,11,6,9,2,YMN,0,2,4,m,v,0,655,2,33,3
36,36,Resp,3,37,36,36,0,10,12,6,9,1,YFN,1,1,1,v,v,1,615,1,34,3
37,37,Resp,3,38,37,37,0,10,12,7,9,4,OMN,1,4,2,b,b,1,596,1,35,3
38,38,Resp,3,39,38,38,0,10,12,7,10,3,OFN,0,3,3,n,m,0,721,2,35,3
39,39,Resp,3,40,39,39,0,10,12,8,10,4,OMN,1,4,2,b,b,1,835,1,36,3
40,40,Resp,3,41,40,40,0,10,12,9,10,4,OMN,1,4,2,b,b,1,684,1,37,3
41,41,Resp,3,42,41,41,0,11,12,9,10,2,YMN,0,2,4,m,m,1,905,1,38,3
42,42,Resp,3,43,42,42,0,11,13,9,10,1,YFN,1,1,1,v,v,1,688,1,39,3
43,43,Resp,3,44,43,43,0,11,13,10,10,4,OMN,1,4,2,b,b,1,631,1,40,3
44,44,Resp,3,45,44,44,0,11,14,10,10,1,YFN,1,1,1,v,v,1,670,1,41,3
45,45,Resp,3,46,45,45,0,11,14,10,11,3,OFN,0,3,3,n,n,1,753,1,42,3
46,46,Resp,3,47,46,46,0,11,14,11,11,4,OMN,1,4,2,b,b,1,749,1,43,3
47,47,Resp,3,48,47,47,0,11,14,11,12,3,OFN,0,3,3,n,n,1,810,1,44,3
48,48,Resp,3,49,48,48,0,11,14,12,12,4,OMN,1,4,2,b,b,1,627,1,45,3
49,49,Resp,3,50,49,49,0,11,14,13,12,4,OMN,1,4,2,b,b,1,595,1,46,3
50,50,Resp,3,51,50,50,0,12,14,13,12,2,YMN,0,2,4,m,m,1,889,1,47,3
51,51,Resp,3,52,51,51,0,12,14,13,13,3,OFN,0,3,3,n,n,1,823,1,48,3
52,52,Resp,3,53,52,52,0,12,14,14,13,4,OMN,1,4,2,b,b,1,741,1,49,3
53,53,Resp,3,54,53,53,0,12,14,14,14,3,OFN,0,3,3,n,n,1,627,1,50,3
54,54,Resp,3,55,54,54,0,12,15,14,14,1,YFN,1,1,1,v,v,1,459,1,51,3
55,55,Resp,3,56,55,55,0,12,15,15,14,4,OMN,1,4,2,b,n,0,620,2,51,3
56,56,Resp,3,57,56,56,0,12,16,15,14,1,YFN,1,1,1,v,m,0,914,2,51,3
57,57,Resp,3,58,57,57,0,13,16,15,14,2,YMN,0,2,4,m,m,1,705,1,52,3
58,58,Resp,3,59,58,58,0,13,16,15,15,3,OFN,0,3,3,n,n,1,769,1,53,3
59,59,Resp,3,60,59,59,0,13,16,16,15,4,OMN,1,4,2,b,b,1,719,1,54,3
60,60,Resp,3,61,60,60,0,14,16,16,15,2,YMN,0,2,3,n,m,0,743,2,54,3
61,61,Resp,3,62,61,61,0,14,16,17,15,4,OMN,1,4,2,b,b,1,785,1,55,3
62,62,Resp,3,63,62,62,0,15,16,17,15,2,YMN,0,2,3,n,m,0,559,2,55,3
63,63,Resp,3,64,63,63,0,15,17,17,15,1,YFN,1,1,1,v,v,1,692,1,56,3
64,64,Resp,3,65,64,64,0,16,17,17,15,2,YMN,0,2,3,n,m,0,628,2,56,3
65,65,Resp,3,66,65,65,0,16,17,18,15,4,OMN,1,4,2,b,b,1,1076,1,57,3
66,66,Resp,3,67,66,66,0,16,18,18,15,1,YFN,1,1,1,v,v,1,722,1,58,3
67,67,Resp,3,68,67,67,0,16,18,18,16,3,OFN,0,3,4,m,n,0,719,2,58,3
68,68,Resp,3,69,68,68,0,16,18,18,17,3,OFN,0,3,4,m,m,1,632,1,59,3
69,69,Resp,3,70,69,69,0,16,19,18,17,1,YFN,1,1,1,v,v,1,647,1,60,3
70,70,Resp,3,71,70,70,0,17,19,18,17,2,YMN,0,2,3,n,n,1,949,1,61,3
71,71,Resp,3,72,71,71,0,18,19,18,17,2,YMN,0,2,3,n,m,0,818,2,61,3
72,72,Resp,3,73,72,72,0,18,19,19,17,4,OMN,1,4,2,b,v,0,580,2,61,3
73,73,Resp,3,74,73,73,0,18,20,19,17,1,YFN,1,1,1,v,v,1,556,1,62,3
74,74,Resp,3,75,74,74,0,19,20,19,17,2,YMN,0,2,3,n,n,1,761,1,63,3
75,75,Resp,3,76,75,75,0,19,20,20,17,4,OMN,1,4,2,b,v,0,703,2,63,3
76,76,Resp,3,77,76,76,0,19,20,20,18,3,OFN,0,3,4,m,n,0,759,2,63,3
77,77,Resp,3,78,77,77,0,20,20,20,18,2,YMN,0,2,3,n,m,0,840,2,63,3
78,78,RespITI,3,79,78,78,0,20,20,20,19,3,OFN,0,3,4,m,0,0,840,3,63,3
79,79,Resp,3,80,79,79,0,20,21,20,19,1,YFN,1,1,1,v,v,1,596,1,64,3
80,80,Resp,3,81,80,80,0,20,22,20,19,1,YFN,1,1,1,v,v,1,625,1,65,3
81,81,Resp,3,82,81,81,0,20,23,20,19,1,YFN,1,1,1,v,v,1,721,1,66,3
82,82,Resp,3,83,82,82,0,20,23,21,19,4,OMN,1,4,2,b,v,0,885,2,66,3
83,83,Resp,3,84,83,83,0,20,23,21,20,3,OFN,0,3,4,m,n,0,729,2,66,3
84,84,Resp,3,85,84,84,0,20,23,21,21,3,OFN,0,3,4,m,m,1,656,1,67,3
85,85,Resp,3,86,85,85,0,21,23,21,21,2,YMN,0,2,3,n,n,1,925,1,68,3
86,86,Resp,3,87,86,86,0,22,23,21,21,2,YMN,0,2,3,n,n,1,812,1,69,3
87,87,Resp,3,88,87,87,0,22,23,21,22,3,OFN,0,3,4,m,m,1,792,1,70,3
88,88,Resp,3,89,88,88,0,22,24,21,22,1,YFN,1,1,1,v,v,1,819,1,71,3
89,89,Resp,3,90,89,89,0,23,24,21,22,2,YMN,0,2,3,n,v,0,728,2,71,3
90,90,Resp,3,91,90,90,0,24,24,21,22,2,YMN,0,2,3,n,n,1,888,1,72,3
91,91,Resp,3,92,91,91,0,24,25,21,22,1,YFN,1,1,1,v,v,1,733,1,73,3
92,92,Resp,3,93,92,92,0,24,26,21,22,1,YFN,1,1,1,v,n,0,901,2,73,3
93,93,Resp,3,94,93,93,0,24,27,21,22,1,YFN,1,1,1,v,v,1,694,1,74,3
94,94,Resp,3,95,94,94,0,24,27,21,23,3,OFN,0,3,4,m,m,1,859,1,75,3
95,95,Resp,3,96,95,95,0,24,27,21,24,3,OFN,0,3,4,m,n,0,570,2,75,3
96,96,Resp,3,97,96,96,0,25,27,21,24,2,YMN,0,2,3,n,n,1,610,1,76,3
97,97,Resp,3,98,97,97,0,25,27,22,24,4,OMN,1,4,2,b,n,0,873,2,76,3
98,98,Resp,3,99,98,98,0,25,27,22,25,3,OFN,0,3,4,m,b,0,664,2,76,3
99,99,Resp,3,100,99,99,0,25,28,22,25,1,YFN,1,1,1,v,v,1,659,1,77,3
100,100,Resp,3,101,100,100,0,25,29,22,25,1,YFN,1,1,1,v,v,1,741,1,78,3
101,101,Resp,3,102,101,101,0,25,29,23,25,4,OMN,1,4,2,b,n,0,1038,2,78,3
102,102,Resp,3,103,102,102,0,25,29,24,25,4,OMN,1,4,2,b,b,1,819,1,79,3
103,103,Resp,3,104,103,103,0,25,29,25,25,4,OMN,1,4,2,b,b,1,512,1,80,3
104,104,Resp,3,105,104,104,0,25,29,25,26,3,OFN,0,3,4,m,n,0,767,2,80,3
105,105,Resp,3,106,105,105,0,25,30,25,26,1,YFN,1,1,1,v,v,1,719,1,81,3
106,106,Resp,3,107,106,106,0,26,30,25,26,2,YMN,0,2,3,n,n,1,1038,1,82,3
107,107,Resp,3,108,107,107,0,26,30,25,27,3,OFN,0,3,4,m,m,1,834,1,83,3
108,108,Resp,3,109,108,108,0,27,30,25,27,2,YMN,0,2,3,n,n,1,738,1,84,3
109,109,Resp,3,110,109,109,0,27,30,26,27,4,OMN,1,4,2,b,b,1,779,1,85,3
110,110,Resp,3,111,110,110,0,27,30,26,28,3,OFN,0,3,4,m,n,0,793,2,85,3
111,111,Resp,3,112,111,111,0,28,30,26,28,2,YMN,0,2,3,n,m,0,847,2,85,3
112,112,Resp,3,113,112,112,0,29,30,26,28,2,YMN,0,2,3,n,m,0,854,2,85,3
113,113,RespITI,3,114,113,113,0,29,30,26,29,3,OFN,0,3,4,m,0,0,854,3,85,3
114,114,Resp,3,115,114,114,0,29,30,27,29,4,OMN,1,4,2,b,b,1,1012,1,86,3
115,115,Resp,3,116,115,115,0,29,30,27,30,3,OFN,0,3,4,m,b,0,1164,2,86,3
116,116,Resp,3,117,116,116,0,30,30,27,30,2,YMN,0,2,3,n,m,0,994,2,86,3
117,117,Resp,3,118,117,117,0,30,30,28,30,4,OMN,1,4,2,b,b,1,810,1,87,3
118,118,Resp,3,119,118,118,0,30,30,29,30,4,OMN,1,4,2,b,b,1,752,1,88,3
119,119,Resp,3,120,119,119,0,30,30,30,30,4,OMN,1,4,2,b,b,1,696,1,89,3
0,0,Resp,3,1,0,0,0,0,1,0,0,1,YFN,1,1,1,v,n,0,893,2,0,11
1,1,Resp,3,2,1,1,0,0,1,1,0,4,OMN,1,4,2,b,n,0,968,2,0,11
2,2,Resp,3,3,2,2,0,0,1,2,0,4,OMN,1,4,2,b,b,1,882,1,1,11
3,3,Resp,3,4,3,3,0,0,2,2,0,1,YFN,1,1,1,v,v,1,936,1,2,11
4,4,Resp,3,5,4,4,0,0,3,2,0,1,YFN,1,1,1,v,v,1,584,1,3,11
5,5,Resp,3,6,5,5,0,0,3,3,0,4,OMN,1,4,2,b,b,1,573,1,4,11
6,6,Resp,3,7,6,6,0,1,3,3,0,2,YMN,0,2,4,m,n,0,1108,2,4,11
7,7,Resp,3,8,7,7,0,1,4,3,0,1,YFN,1,1,1,v,v,1,538,1,5,11
8,8,Resp,3,9,8,8,0,1,5,3,0,1,YFN,1,1,1,v,v,1,506,1,6,11
9,9,Resp,3,10,9,9,0,1,5,4,0,4,OMN,1,4,2,b,b,1,492,1,7,11
10,10,Resp,3,11,10,10,0,1,5,4,1,3,OFN,0,3,3,n,n,1,1168,1,8,11
11,11,Resp,3,12,11,11,0,2,5,4,1,2,YMN,0,2,4,m,b,0,914,2,8,11
12,12,Resp,3,13,12,12,0,2,6,4,1,1,YFN,1,1,1,v,v,1,538,1,9,11
13,13,Resp,3,14,13,13,0,2,7,4,1,1,YFN,1,1,1,v,v,1,526,1,10,11
